work_id,name,author,ISBN,publisher,created_at,ai_summary,cover_img,reward
193610,la verdad bajo la tierra,Miquel Dewever-Plana,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/3335594-L.jpg,
193611,linvention des syndicalismes,Boll Plost,,,1900-01-01,,,
193612,la fugue a bruxelles,R. Maurice,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/3150889-L.jpg,
193613,europe de lextrme droite,Duranton Cabrol,,,1900-01-01,,,
193614,die softly,Christopher Pike,[''],,1900-01-01,,,
193615,the scalpel and the silver bear,Lori Arviso Alvord,[''],,1900-01-01,,,
193616,snecma,Pierre Sparaco,[''],,1900-01-01,,,
193617,buigen in jappenkampen,Lydia Chagoll,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/6347724-L.jpg,
193618,ana lana an nahlum,Muhammad Musa Jibarah,[''],,1900-01-01,,,
193619,hethitische rituale und festbeschreibungen,M. Popko,,,1900-01-01,,,
193620,commentaria in aristotelem graeca,John Philoponus,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/3167712-L.jpg,
193621,einhundert meisterwerke der psychotherapie,Alfred Pritz,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/3175337-L.jpg,
193622,meer der tusche erzhlung mit zehn bildern,Richard Weihe,,,1900-01-01,,,
193623,legio estrangeira,Clarice Lispector,,,1900-01-01,,,
193624,classical symmetries,J. Leite Lopes,[''],,1900-01-01,,,
193625,albrecht der br grnder der mark brandenburg und des frstentums anhalt,Lutz Partenheimer,,,1900-01-01,,,
193626,die entstehung der mark brandenburg,Lutz Partenheimer,[''],,1900-01-01,,,
193627,the gondola scam,Jonathan Gash,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/94009-L.jpg,
193628,the grace in older women,Jonathan Gash,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/99024-L.jpg,
193629,die tannhuserlegende,Dietz-Rüdiger Moser,,,1900-01-01,,,
193630,a luta pela cultura,Nelson Werneck Sodré,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/4423675-L.jpg,
193631,sexo na cabeca,Luis Fernando Verissimo,,,1900-01-01,,,
193632,gut gezielt schtze eine kulturgeschichte des schtzenwesens,Werner Böhm,,,1900-01-01,,,
193633,zwischen bestimmung und autonomie erziehung bildung und liebe im frauenroman des 18 jahrhunderts,Hans-Joachim Maier,,,1900-01-01,,,
193634,alien sea,Mathew Stone,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/14866328-L.jpg,
193635,getulio vargas e o seu tempo,Fernando Jorge,,,1900-01-01,,,
193636,o negro no rio de janeiro e sua tradicao musical,Nei Lopes,,,1900-01-01,,,
193637,ordnungen der sichtbarkeit,Peter Geimer,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/3221607-L.jpg,
193638,geschichte der sechs begriffe,Władysław Tatarkiewicz,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/3222191-L.jpg,
193639,polyvinylpyrrolidone excipients for pharmaceuticals,Volker Bühler,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/3228139-L.jpg,
193640,a fronteira,Tau Golin,[''],,1900-01-01,,,
193641,literatura  vida,Cassiano Nunes,,,1900-01-01,,,
193642,silchikcha i ilsang hwaltong mit pmjoe haengwi e taehan yngu,Kwang-do Ki,,,1900-01-01,,,
193643,hanguk tochakhwa sinhak ui kujo,Chong-nyol Hwang,[''],,1900-01-01,,,
193644,koguryoin ui sam kwa chongsin,Pyong-guk So,[''],,1900-01-01,,,
193645,widaehan paekche wangguk,Taek-su Kim,[''],,1900-01-01,,,
193646,hyondae hanguksi yongu,Hyop Sin,,,1900-01-01,,,
193647,segyehwa sidae ui illyu haengjong,Se-jong Pak,[''],,1900-01-01,,,
193648,choson hugi sojisa yongu,Yang-son Sin,,,1900-01-01,,,
193649,yongmang ui kunul,To-kyong Hwang,[''],,1900-01-01,,,
193650,hancha nun uri kul ida,Mun-gi Pak,[''],,1900-01-01,,,
193651,sijang e tonjyojin nodong kyegup,Hyang-sun Yi,[''],,1900-01-01,,,
193652,deuxieme livre des procurateurs 15461567,C. M. Ridderikhoff,,,1900-01-01,,,
193653,frommigkeittheologiefrommigkeitstheologie,Gudrun Litz,,,1900-01-01,,,
193654,mediating the divine,Alex P. Jassen,[''],,1900-01-01,,,
193655,canal dreams,Iain Banks,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/5299124-L.jpg,
193656,the poets role lyric responses to german unification by poets from the gdr,Ruth J. Owen,,,1900-01-01,,,
