work_id,name,created_at,director,publisher,ai_summary,cover_img,reward
1,toy story,1995-01-01,존 라세터,Pixar,,https://image.tmdb.org/t/p/w500/5ELwzkC7QY9vug20AvRFOXBzLbG.jpg,
2,jumanji,1995-01-01,조 존스턴,TriStar Pictures,,https://image.tmdb.org/t/p/w500/jjJohGbwz9kRaf490dZ158vbHho.jpg,
3,grumpier old men,1995-01-01,Howard Deutch,Lancaster Gate,,https://image.tmdb.org/t/p/w500/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,
4,waiting to exhale,1995-01-01,포레스트 휘태커,20th Century Fox,,https://image.tmdb.org/t/p/w500/qJU6rfil5xLVb5HpJsmmfeSK254.jpg,
5,father of the bride part ii,1995-01-01,찰스 샤이어,Touchstone Pictures,,https://image.tmdb.org/t/p/w500/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,
6,heat,1995-01-01,마이클 만,Warner Bros. Pictures,,https://image.tmdb.org/t/p/w500/p0uAcyDgBXtCSXZdnacwr9OGcIH.jpg,
7,sabrina,1995-01-01,시드니 폴락,Paramount Pictures,,https://image.tmdb.org/t/p/w500/i8PbLJDPU7vCwwscWD625oHbJy.jpg,
8,tom and huck,1995-01-01,Peter Hewitt,Walt Disney Pictures,,https://image.tmdb.org/t/p/w500/bMY31ikEOIPOHqQwhPhII8UVBln.jpg,
9,sudden death,1995-01-01,피터 하이엄스,Shattered Productions,,https://image.tmdb.org/t/p/w500/qAt8PBbqzzA6pttEHxHRRYVIDih.jpg,
10,goldeneye,1995-01-01,마틴 캠벨,EON Productions,,https://image.tmdb.org/t/p/w500/b0tjkc1p5dWW9KQFgnCt2zgequ6.jpg,
11,american president the,1995-01-01,롭 라이너,Castle Rock Entertainment,,https://image.tmdb.org/t/p/w500/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,
12,dracula dead and loving it,1995-01-01,멜 브룩스,Castle Rock Entertainment,,https://image.tmdb.org/t/p/w500/fwdXQU3Dbs2CMHu8K87bAxlWV0t.jpg,
13,balto,1995-01-01,Simon Wells,Amblin Entertainment,,https://image.tmdb.org/t/p/w500/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,
14,nixon,1995-01-01,올리버 스톤,Cinergi Pictures,,https://image.tmdb.org/t/p/w500/gpwpF4LOa3yTRLugpMP8vPwZQ6C.jpg,
15,cutthroat island,1995-01-01,레니 할린,Carolco Pictures,,https://image.tmdb.org/t/p/w500/epufipWURtDwpK0BIFagnL7gUjE.jpg,
16,casino,1995-01-01,마틴 스콜세지,Universal Pictures,,https://image.tmdb.org/t/p/w500/fygChDROEjKiFAoBmgYHNzEyi2v.jpg,
17,sense and sensibility,1995-01-01,이안,Columbia Pictures,,https://image.tmdb.org/t/p/w500/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,
18,four rooms,1995-01-01,Allison Anders,Miramax,,https://image.tmdb.org/t/p/w500/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,
19,ace ventura when nature calls,1995-01-01,Steve Oedekerk,Morgan Creek,,https://image.tmdb.org/t/p/w500/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,
20,money train,1995-01-01,Joseph Ruben,Columbia Pictures,,https://image.tmdb.org/t/p/w500/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,
21,get shorty,1995-01-01,Barry Sonnenfeld,Metro-Goldwyn-Mayer,,https://image.tmdb.org/t/p/w500/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,
22,copycat,1995-01-01,Jon Amiel,New Regency Pictures,,https://image.tmdb.org/t/p/w500/oMgwJb016znNZcpDR20eXxZoW8A.jpg,
23,assassins,1995-01-01,리처드 도너,Warner Bros. Pictures,,https://image.tmdb.org/t/p/w500/5eOgZWh9jswMoP581HsjoIbDcT2.jpg,
24,powder,1995-01-01,Victor Salva,Hollywood Pictures,,https://image.tmdb.org/t/p/w500/aQSA63T7zyzZxBZxr2MQaxt1gtO.jpg,
25,leaving las vegas,1995-01-01,Mike Figgis,Initial Productions,,https://image.tmdb.org/t/p/w500/9YkPR15OPjqTOvm4U5CV5ZlzrK1.jpg,
26,othello,1995-01-01,Oliver Parker,Castle Rock Entertainment,,https://image.tmdb.org/t/p/w500/kyevuYzW36wKadiE8lftLac5VwQ.jpg,
27,now and then,1995-01-01,Lesli Linka Glatter,New Line Cinema,,https://image.tmdb.org/t/p/w500/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg,
28,persuasion,1995-01-01,로저 미첼,BBC Film,,https://image.tmdb.org/t/p/w500/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg,
29,city of lost children the,1995-01-01,장-피에르 주네,Constellation,,https://image.tmdb.org/t/p/w500/sSQmKWhD4DuJqGM6Wpx2YMUxcYa.jpg,
30,shanghai triad,1995-01-01,장이머우,Alpha Films,,https://image.tmdb.org/t/p/w500/nzydiNaVUJaIa48aDdwgIMjtChM.jpg,
31,dangerous minds,1995-01-01,John N. Smith,Don Simpson/Jerry Bruckheimer Films,,https://image.tmdb.org/t/p/w500/F0jHo1de4IKjDsB1BtYNiXSwf3.jpg,
32,twelve monkeys,1995-01-01,테리 길리엄,Universal Pictures,,https://image.tmdb.org/t/p/w500/6bSEAb5YOeEKW0lbki7bFCv6Zdh.jpg,
34,babe,1995-01-01,Chris Noonan,Universal Pictures,,https://image.tmdb.org/t/p/w500/sC9VPlQmcVHmH8L3hzOZS160k6E.jpg,
36,dead man walking,1995-01-01,팀 로빈스,Havoc,,https://image.tmdb.org/t/p/w500/eShxyjhWoFl3BwsuEmVsr4nLaMZ.jpg,
38,it takes two,1995-01-01,Andy Tennant,Dualstar Productions,,https://image.tmdb.org/t/p/w500/4CptjFLiIJXtjc3dykS7vkEHMbw.jpg,
39,clueless,1995-01-01,에이미 해커링,Paramount Pictures,,https://image.tmdb.org/t/p/w500/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg,
40,cry the beloved country,1995-01-01,Darrell James Roodt,Alpine Pty Limited,,https://image.tmdb.org/t/p/w500/96TZr6o4kuiIEryC5jkzaQoP6m5.jpg,
41,richard iii,1995-01-01,Richard Loncraine,Mayfair Entertainment International,,https://image.tmdb.org/t/p/w500/aN2BcIH6rvGbYiRQCS8lxOdeeVQ.jpg,
42,dead presidents,1995-01-01,Albert Hughes,Caravan Pictures,,https://image.tmdb.org/t/p/w500/wRLepMZoUCwjLFb1WSbuUT6uVWR.jpg,
43,restoration,1995-01-01,Michael Hoffman,Miramax,,https://image.tmdb.org/t/p/w500/z1YM3WFZnF2NwHT5IRGYUcvZBSl.jpg,
