work_id,type,rating
1,movie,3.92
2,movie,3.43
3,movie,3.26
4,movie,2.36
5,movie,3.07
6,movie,3.95
7,movie,3.19
8,movie,2.88
9,movie,3.12
10,movie,3.5
11,movie,3.67
12,movie,2.42
13,movie,3.12
14,movie,3.83
15,movie,3.0
16,movie,3.93
17,movie,3.78
18,movie,3.7
19,movie,2.73
20,movie,2.5
21,movie,3.49
22,movie,3.22
23,movie,3.12
24,movie,3.12
25,movie,3.62
26,movie,3.5
27,movie,3.33
28,movie,4.23
29,movie,4.01
30,movie,3.0
31,movie,3.18
32,movie,3.98
34,movie,3.65
36,movie,3.84
38,movie,2.12
39,movie,3.29
40,movie,4.25
41,movie,3.7
42,movie,3.0
43,movie,3.19
44,movie,2.54
45,movie,3.31
46,movie,3.07
47,movie,3.98
48,movie,3.15
49,movie,3.0
50,movie,4.24
52,movie,3.46
53,movie,5.0
54,movie,2.33
55,movie,4.0
57,movie,3.06
58,movie,4.03
60,movie,3.24
61,movie,3.75
62,movie,3.71
63,movie,2.71
64,movie,2.2
65,movie,2.53
66,movie,2.5
68,movie,3.4
69,movie,3.78
70,movie,3.51
71,movie,1.7
72,movie,3.21
74,movie,4.0
75,movie,2.2
76,movie,3.4
77,movie,4.0
78,movie,3.33
79,movie,2.76
80,movie,4.0
81,movie,3.11
82,movie,3.88
83,movie,3.0
85,movie,3.86
86,movie,3.97
87,movie,2.5
88,movie,3.16
89,movie,3.25
92,movie,2.62
93,movie,2.83
94,movie,3.95
95,movie,3.02
96,movie,3.5
97,movie,3.9
99,movie,5.0
100,movie,2.79
101,movie,3.78
102,movie,2.4
103,movie,3.0
104,movie,3.44
105,movie,3.28
106,movie,4.0
107,movie,3.33
108,movie,4.0
110,movie,4.03
111,movie,4.11
112,movie,3.54
113,movie,3.33
116,movie,3.9
117,movie,3.0
118,movie,2.5
119,movie,3.0
121,movie,4.0
122,movie,2.66
123,movie,4.38
125,movie,3.58
126,movie,2.0
129,movie,2.0
132,movie,2.83
135,movie,2.95
137,movie,3.0
140,movie,3.5
141,movie,3.49
144,movie,3.33
145,movie,3.25
146,movie,3.33
147,movie,3.47
148,movie,5.0
149,movie,2.0
150,movie,3.85
151,movie,3.55
152,movie,1.5
153,movie,2.92
154,movie,3.88
155,movie,2.42
156,movie,3.33
157,movie,2.86
158,movie,2.81
159,movie,2.89
160,movie,2.88
161,movie,3.64
162,movie,4.21
163,movie,3.56
164,movie,3.32
165,movie,3.56
166,movie,2.83
168,movie,3.08
169,movie,2.4
170,movie,3.23
171,movie,3.83
172,movie,2.68
173,movie,2.67
174,movie,2.7
175,movie,3.98
176,movie,4.31
177,movie,2.75
178,movie,1.0
179,movie,1.5
180,movie,3.4
181,movie,2.26
184,movie,3.5
185,movie,3.04
186,movie,2.82
187,movie,4.12
188,movie,3.46
189,movie,3.0
190,movie,2.8
191,movie,2.42
193,movie,2.47
194,movie,3.67
195,movie,3.1
196,movie,2.67
198,movie,3.25
199,movie,4.12
201,movie,3.0
202,movie,3.0
203,movie,3.43
204,movie,2.72
205,movie,3.17
206,movie,3.0
207,movie,3.43
208,movie,2.91
209,movie,3.17
210,movie,3.0
211,movie,3.5
212,movie,3.0
213,movie,3.83
214,movie,4.0
215,movie,4.04
216,movie,3.33
217,movie,2.33
218,movie,3.43
219,movie,3.0
220,movie,3.0
222,movie,3.75
223,movie,3.86
224,movie,3.61
225,movie,3.54
227,movie,2.86
228,movie,2.33
229,movie,3.43
230,movie,3.4
231,movie,3.06
232,movie,3.89
233,movie,3.5
234,movie,2.59
235,movie,3.68
236,movie,3.48
237,movie,3.34
238,movie,4.0
239,movie,3.0
240,movie,2.38
241,movie,4.0
242,movie,3.6
243,movie,3.0
246,movie,4.29
247,movie,3.93
249,movie,3.72
250,movie,2.5
251,movie,3.0
252,movie,3.45
253,movie,3.46
254,movie,3.0
255,movie,2.07
256,movie,2.83
257,movie,3.5
258,movie,2.6
259,movie,3.2
260,movie,4.23
261,movie,3.88
262,movie,3.9
263,movie,4.0
265,movie,3.94
266,movie,3.4
267,movie,2.94
269,movie,3.0
270,movie,3.4
271,movie,3.5
272,movie,3.76
273,movie,2.95
274,movie,2.93
275,movie,2.0
276,movie,3.25
277,movie,3.22
278,movie,1.5
279,movie,3.0
280,movie,4.08
281,movie,3.79
282,movie,3.34
283,movie,3.67
284,movie,4.5
288,movie,3.23
289,movie,3.56
290,movie,4.04
291,movie,2.33
292,movie,3.43
294,movie,3.0
295,movie,3.0
296,movie,4.2
298,movie,2.0
299,movie,4.0
300,movie,3.52
301,movie,4.0
302,movie,3.2
303,movie,2.95
304,movie,3.67
305,movie,2.83
306,movie,4.22
307,movie,3.9
308,movie,4.03
312,movie,1.44
313,movie,3.33
314,movie,3.75
315,movie,3.08
316,movie,3.38
317,movie,3.2
318,movie,4.43
319,movie,3.6
320,movie,3.0
321,movie,4.0
324,movie,4.0
325,movie,2.5
326,movie,4.0
327,movie,2.82
328,movie,3.15
329,movie,3.39
330,movie,3.0
331,movie,3.0
332,movie,2.83
333,movie,3.78
334,movie,4.2
335,movie,3.5
336,movie,3.0
337,movie,3.77
338,movie,2.84
339,movie,3.47
340,movie,3.4
341,movie,4.0
342,movie,3.27
343,movie,2.9
344,movie,3.04
345,movie,3.6
347,movie,3.5
348,movie,3.58
349,movie,3.6
350,movie,3.39
351,movie,3.18
352,movie,2.5
353,movie,3.61
354,movie,3.33
355,movie,2.36
356,movie,4.16
357,movie,3.52
358,movie,2.67
359,movie,3.0
360,movie,2.69
361,movie,3.06
362,movie,3.53
363,movie,4.0
364,movie,3.94
365,movie,3.25
366,movie,2.92
367,movie,3.18
368,movie,3.5
369,movie,4.0
370,movie,3.06
371,movie,3.31
372,movie,2.76
374,movie,2.2
376,movie,3.25
377,movie,3.53
378,movie,2.79
379,movie,2.5
380,movie,3.5
381,movie,3.82
382,movie,3.16
383,movie,3.1
384,movie,3.25
385,movie,4.0
386,movie,3.0
387,movie,2.38
390,movie,3.7
391,movie,4.5
393,movie,2.5
405,movie,2.42
407,movie,3.44
408,movie,3.0
409,movie,2.0
410,movie,3.1
412,movie,3.5
413,movie,2.79
414,movie,2.33
415,movie,2.53
416,movie,2.5
417,movie,3.69
419,movie,2.68
420,movie,2.72
421,movie,3.21
422,movie,3.2
423,movie,2.85
424,movie,1.83
425,movie,3.75
426,movie,3.14
427,movie,2.54
428,movie,3.72
429,movie,2.0
430,movie,3.75
431,movie,3.74
432,movie,2.65
433,movie,2.75
434,movie,3.03
435,movie,2.42
436,movie,2.57
437,movie,2.17
438,movie,2.71
440,movie,3.55
441,movie,3.93
442,movie,3.09
444,movie,2.33
445,movie,3.0
446,movie,3.83
448,movie,3.62
449,movie,1.0
450,movie,3.0
451,movie,4.0
453,movie,2.8
454,movie,3.53
455,movie,2.39
456,movie,3.75
457,movie,3.99
458,movie,2.8
459,movie,2.25
460,movie,2.67
461,movie,2.75
464,movie,2.9
466,movie,2.87
467,movie,5.0
468,movie,3.2
469,movie,3.4
470,movie,1.0
471,movie,3.55
472,movie,2.58
473,movie,1.86
474,movie,3.69
475,movie,4.3
476,movie,1.0
477,movie,3.38
478,movie,2.5
479,movie,2.25
480,movie,3.75
481,movie,3.16
482,movie,3.62
484,movie,3.0
485,movie,2.93
486,movie,3.0
487,movie,2.5
488,movie,3.0
489,movie,2.86
490,movie,3.0
491,movie,3.29
492,movie,3.75
493,movie,3.67
494,movie,3.38
495,movie,5.0
496,movie,5.0
497,movie,3.81
499,movie,2.5
500,movie,3.39
501,movie,3.67
502,movie,2.37
504,movie,3.0
505,movie,2.21
506,movie,4.5
507,movie,3.38
508,movie,3.61
509,movie,3.54
510,movie,3.0
511,movie,3.0
512,movie,3.0
513,movie,3.38
514,movie,3.42
515,movie,3.6
516,movie,3.06
517,movie,3.28
518,movie,2.38
519,movie,2.4
520,movie,3.13
521,movie,3.17
522,movie,3.29
523,movie,3.5
524,movie,3.49
526,movie,4.0
527,movie,4.22
528,movie,2.33
529,movie,3.88
531,movie,3.25
532,movie,3.0
533,movie,2.89
534,movie,3.61
535,movie,3.27
536,movie,3.33
537,movie,3.17
538,movie,3.58
539,movie,3.47
540,movie,2.67
541,movie,4.1
542,movie,2.79
543,movie,3.32
544,movie,2.44
546,movie,2.0
547,movie,3.25
548,movie,2.75
550,movie,3.4
551,movie,3.55
552,movie,3.26
553,movie,3.82
555,movie,3.8
556,movie,3.33
558,movie,2.94
562,movie,3.54
563,movie,4.0
564,movie,1.5
567,movie,2.0
568,movie,3.5
569,movie,2.67
573,movie,3.5
574,movie,3.25
575,movie,2.66
577,movie,2.12
580,movie,2.8
581,movie,4.0
583,movie,4.0
585,movie,2.74
586,movie,3.0
587,movie,3.43
588,movie,3.79
589,movie,3.97
590,movie,3.84
592,movie,3.43
593,movie,4.16
594,movie,3.62
595,movie,3.77
596,movie,3.45
597,movie,3.49
599,movie,3.82
600,movie,4.0
602,movie,4.0
605,movie,3.0
606,movie,3.0
608,movie,4.12
609,movie,3.57
610,movie,3.55
611,movie,2.42
612,movie,2.5
613,movie,3.19
616,movie,3.41
617,movie,2.83
618,movie,3.0
619,movie,2.6
626,movie,5.0
627,movie,3.33
628,movie,3.64
631,movie,3.18
632,movie,4.0
633,movie,5.0
634,movie,2.25
635,movie,3.0
636,movie,3.0
637,movie,3.05
638,movie,3.0
639,movie,3.0
640,movie,2.68
645,movie,3.5
647,movie,3.33
648,movie,3.54
649,movie,3.0
650,movie,3.0
653,movie,3.09
656,movie,3.0
661,movie,3.45
662,movie,3.29
663,movie,3.29
667,movie,2.81
668,movie,4.25
670,movie,4.75
671,movie,3.49
673,movie,2.71
674,movie,3.17
679,movie,4.0
680,movie,4.12
685,movie,4.0
688,movie,2.33
691,movie,3.33
692,movie,2.0
694,movie,2.95
695,movie,4.0
697,movie,2.7
698,movie,1.0
700,movie,3.21
703,movie,2.0
704,movie,2.57
706,movie,3.0
707,movie,2.88
708,movie,3.39
709,movie,3.09
710,movie,2.56
711,movie,3.05
